bestbuy_sku,bb_name,bb_model,bb_upc,bb_regular_price,bb_sale_price,bb_on_sale,bb_dollar_savings,bb_percent_savings,bb_price_updated,bb_url
6544731,"Sony - 98"" Class BRAVIA XR X90L LED 4K UHD Smart Google TV (2023)",XR98X90L,027242927414,6199.99,3999.99,True,2200.0,35.48,2026-02-16T10:17:07,https://api.bestbuy.com/click/-/6544731/pdp
6576594,Samsung - 75” Class LS03D The Frame Series QLED 4K with Anti-Reflection and Slim Fit Wall Mount Included (2024),QN75LS03DAFXZA,887276822891,2199.99,1799.99,True,400.0,18.18,2026-03-02T00:02:30,https://api.bestbuy.com/click/-/6576594/pdp
6578055,"LG - 77"" Class B4 Series OLED 4K UHD Smart webOS TV (2024)",OLED77B4PUA,195174077221,1599.99,1529.99,True,70.0,4.38,2025-08-11T00:27:43,https://api.bestbuy.com/click/-/6578055/pdp
6553380,"Sony - 77"" class BRAVIA XR A95L OLED 4K UHD Smart Google TV (2023)",XR77A95L,027242927476,4999.99,4499.99,True,500.0,10.0,2026-02-23T00:02:18,https://api.bestbuy.com/click/-/6553380/pdp
6578049,"LG - 55"" Class G4 Series OLED evo 4K UHD Smart webOS TV (2024)",OLED55G4SUB,195174077177,1999.99,1899.99,True,100.0,5.0,2025-11-14T06:14:35,https://api.bestbuy.com/click/-/6578049/pdp
6578057,"LG - 55"" Class B4 Series OLED 4K UHD Smart webOS TV (2024)",OLED55B4PUA,195174077290,1099.99,989.99,True,110.0,10.0,2025-10-27T02:02:01,https://api.bestbuy.com/click/-/6578057/pdp
6576294,Samsung - 43” Class Q60D Series QLED 4K Smart Tizen TV (2024),QN43Q60DAFXZA,887276817545,549.99,522.99,True,27.0,4.91,2025-09-19T00:12:57,https://api.bestbuy.com/click/-/6576294/pdp
6575139,Samsung - 65” Class DU8000 Series Crystal UHD Smart Tizen TV (2024),UN65DU8000FXZA,887276824697,629.99,598.99,True,31.0,4.92,2025-12-19T00:01:51,https://api.bestbuy.com/click/-/6575139/pdp
6576434,Samsung - 75” Class QN85D Series NEO QLED 4K Mini LED Smart Tizen TV (2024),QN75QN85DBFXZA,887276826745,2499.99,1624.99,True,875.0,35.0,2026-02-06T02:01:05,https://api.bestbuy.com/click/-/6576434/pdp
6576593,Samsung - 65” Class LS03D The Frame Series QLED 4K with Anti-Reflection and Slim Fit Wall Mount Included (2024),QN65LS03DAFXZA,887276822594,1299.99,899.99,True,400.0,30.77,2026-03-16T00:03:19,https://api.bestbuy.com/click/-/6576593/pdp
6578047,"LG - 77"" Class G4 Series OLED evo 4K UHD Smart webOS TV with One Wall Design (2024)",OLED77G4WUA,195174076736,3299.99,2804.99,True,495.0,15.0,2025-10-25T00:08:12,https://api.bestbuy.com/click/-/6578047/pdp
6576427,Samsung - 75” Class QN90D Series Neo QLED 4K Mini LED Smart Tizen TV (2024),QN75QN90DAFXZA,887276816845,1799.99,1599.99,True,200.0,11.11,2026-03-09T00:03:14,https://api.bestbuy.com/click/-/6576427/pdp
6576585,Samsung - 55” Class LS03D The Frame Series QLED 4K with Anti-Reflection and Slim Fit Wall Mount Included (2024),QN55LS03DAFXZA,887276822587,999.99,699.99,True,300.0,30.0,2026-03-16T00:03:19,https://api.bestbuy.com/click/-/6576585/pdp
6544732,"Sony - 85"" Class BRAVIA XR X90L LED 4K UHD Smart Google TV (2023)",XR85X90L,027242927407,2099.99,1994.99,True,105.0,5.0,2025-09-23T02:01:34,https://api.bestbuy.com/click/-/6544732/pdp
6578065,"Samsung - 77"" Class S90D Series OLED 4K UHD Smart Tizen TV (2024)",QN77S90DAFXZA,887276821856,1999.99,1299.99,True,700.0,35.0,2026-03-13T02:56:05,https://api.bestbuy.com/click/-/6578065/pdp
6578044,"LG - 77"" Class C4 Series OLED evo 4K UHD Smart webOS TV (2024)",OLED77C4PUA,195174076750,2499.99,1975.99,True,524.0,20.96,2025-12-31T00:02:30,https://api.bestbuy.com/click/-/6578044/pdp
6576598,"Samsung - 65"" Class S90D Series OLED 4K UHD Smart Tizen TV (2024)",QN65S90DAFXZA,887276821825,1399.99,1231.99,True,168.0,12.0,2026-02-28T00:00:20,https://api.bestbuy.com/click/-/6576598/pdp
6544733,"Sony - 65"" Class BRAVIA XR X90L LED 4K UHD Smart Google TV (2023)",XR65X90L,027242927438,1199.99,849.99,True,350.0,29.17,2026-02-09T00:02:18,https://api.bestbuy.com/click/-/6544733/pdp
6578042,"LG - 65"" Class C4 Series OLED evo 4K UHD Smart webOS TV (2024)",OLED65C4PUA,195174077207,1499.99,1274.99,True,225.0,15.0,2025-11-14T06:17:05,https://api.bestbuy.com/click/-/6578042/pdp
6590120,"TCL - 85"" Class A300W NXTVISION Series 4K QLED Lifestyle TV with Ultra Matte Screen and Flush Wall Mount (2024)",85A300W,846042097314,2799.99,1997.99,True,802.0,28.64,2026-03-06T05:32:21,https://api.bestbuy.com/click/-/6590120/pdp
6590119,"TCL - 75"" Class A300W NXTVISION Series 4K QLED Lifestyle TV with Ultra Matte Screen and Flush Wall Mount (2024)",75A300W,846042097307,1799.99,1499.99,True,300.0,16.67,2026-03-10T06:05:33,https://api.bestbuy.com/click/-/6590119/pdp
6579444,"TCL - 65"" Class S5-Series 4K UHD HDR LED Smart Google TV (2024)",65S551G,846042088480,379.99,369.99,True,10.0,2.63,2026-02-20T00:02:14,https://api.bestbuy.com/click/-/6579444/pdp
6576597,Samsung - 75” Class Q80D Series QLED 4K Smart Tizen TV (2024),QN75Q80DAFXZA,887276827919,1199.99,1139.99,True,60.0,5.0,2025-12-31T00:00:36,https://api.bestbuy.com/click/-/6576597/pdp
6579463,"TCL - 75"" Class S5-Series 4K UHD LED Smart Google TV (2024)",75S551G,846042088497,649.99,479.99,True,170.0,26.15,2026-02-09T00:03:02,https://api.bestbuy.com/click/-/6579463/pdp
6579195,"Hisense - 85"" Class QD7 Series QLED 4K UHD Smart Google TV (2024)",85QD7N,888143019376,849.99,798.99,True,51.0,6.0,2025-11-14T06:22:30,https://api.bestbuy.com/click/-/6579195/pdp
6590118,"TCL - 55"" Class A300W NXTVISION Series 4K QLED Lifestyle TV with Ultra Matte Screen and Flush Wall Mount (2024)",55A300W,846042097284,999.99,698.99,True,301.0,30.1,2026-02-18T06:03:31,https://api.bestbuy.com/click/-/6590118/pdp
6590123,"TCL - 65"" Class A300W NXTVISION Series 4K QLED Lifestyle TV with Ultra Matte Screen and Flush Wall Mount (2024)",65A300W,846042097291,1299.99,897.99,True,402.0,30.92,2026-03-09T07:22:20,https://api.bestbuy.com/click/-/6590123/pdp
6579198,"Hisense - 55"" Class S7 Series CanvasTV 4K QLED TV with Hi-Matte Display and UltraSlim Wall Mount (2024)",55S7N,888143019291,999.99,693.99,True,306.0,30.6,2026-01-30T06:02:04,https://api.bestbuy.com/click/-/6579198/pdp
6578582,"Sony - 75"" Class BRAVIA 3 LED 4K UHD Smart Google TV (2024)",K75S30,027242930094,999.99,949.99,True,50.0,5.0,2026-02-23T00:02:58,https://api.bestbuy.com/click/-/6578582/pdp
6578578,"Sony - 85"" Class BRAVIA 3 LED 4K UHD Smart Google TV (2024)",K85S30,027242930087,1499.99,999.99,True,500.0,33.33,2026-03-02T00:02:32,https://api.bestbuy.com/click/-/6578578/pdp
6579460,"TCL - 55"" Class S5-Series 4K UHD HDR LED Smart Google TV (2024)",55S551G,846042088473,279.99,249.99,True,30.0,10.71,2026-02-19T00:02:16,https://api.bestbuy.com/click/-/6579460/pdp
6579462,"TCL - 50"" Class Q6-Series 4K UHD HDR QLED Smart Google TV (2024)",50Q651G,846042090384,299.99,269.99,True,30.0,10.0,2026-03-16T00:03:37,https://api.bestbuy.com/click/-/6579462/pdp
6579448,"TCL - 75"" Class Q6-Series 4K UHD HDR QLED Smart Google TV (2024)",75Q651G,846042088534,749.99,499.99,True,250.0,33.33,2026-03-06T16:15:09,https://api.bestbuy.com/click/-/6579448/pdp
6579453,"TCL - 65"" Class QM7-Series 4K UHD HDR QD Mini LED Smart Google TV (2024)",65QM751G,846042088565,799.99,639.99,True,160.0,20.0,2025-09-19T00:15:25,https://api.bestbuy.com/click/-/6579453/pdp
6579447,"TCL - 98"" Class Q6-Series 4K UHD QLED Smart Google TV (2024)",98Q651G,846042091091,2999.99,1299.99,True,1700.0,56.67,2026-03-10T09:52:39,https://api.bestbuy.com/click/-/6579447/pdp
